BOOK_ID,BOOK_WHIMSINESS_LEVEL,BOOK_ANGST_LEVEL,BOOK_AUTHOR
31,3.22,1,Jane Austen
15,9.56,22,Jane Austen
86,9.37,7,Charlotte Brontë
83,2.78,96,Sally Rooney
4,5.03,76,Jane Austen
40,5.51,72,Charlotte Brontë
93,7.86,29,Jane Austen
15,6.64,28,Sally Rooney
21,6.53,99,Sally Rooney
37,7.82,41,Charlotte Brontë
13,2.7,76,Sally Rooney
32,2.74,26,Charlotte Brontë
47,7.93,1,Jane Austen
49,4.21,60,Charlotte Brontë
67,3.73,49,Sally Rooney
47,6.58,87,Jane Austen
96,0.44,100,Jane Austen
95,7.6,70,Jane Austen
84,3.07,13,Jane Austen
71,4.1,45,Jane Austen
80,9.89,43,Jane Austen
62,8.81,65,Charlotte Brontë
50,4.5,94,Jane Austen
26,1.13,79,Charlotte Brontë
17,0.38,0,Charlotte Brontë
62,5.86,42,Jane Austen
4,9.02,75,Sally Rooney
36,5.67,43,Charlotte Brontë
48,9.79,64,Charlotte Brontë
38,5.13,98,Charlotte Brontë
55,8.11,90,Jane Austen
7,4.79,60,Charlotte Brontë
36,6.87,37,Sally Rooney
59,1.96,18,Sally Rooney
28,4.83,39,Sally Rooney
61,6.42,14,Sally Rooney
21,8.58,56,Charlotte Brontë
22,5.62,34,Jane Austen
8,0.11,71,Charlotte Brontë
31,6.15,16,Charlotte Brontë
94,8.71,46,Sally Rooney
40,5.65,80,Jane Austen
92,6.31,91,Charlotte Brontë
40,3.63,67,Sally Rooney
24,2.29,61,Sally Rooney
31,2.54,31,Charlotte Brontë
67,2.23,14,Jane Austen
55,3.84,5,Sally Rooney
74,6.52,39,Jane Austen
32,4.75,58,Sally Rooney
