BOOK_ID,BOOK_WHIMSINESS_LEVEL,BOOK_ANGST_LEVEL,BOOK_AUTHOR
96,7.77,41,Sally Rooney
83,8.88,51,Charlotte Brontë
0,5.41,0,Sally Rooney
27,3.83,79,Sally Rooney
58,6.64,98,Sally Rooney
38,7.59,4,Charlotte Brontë
83,8.6,99,Charlotte Brontë
48,3.22,84,Sally Rooney
91,6.51,100,Jane Austen
26,1.27,94,Sally Rooney
5,1.2,74,Sally Rooney
79,1.0,3,Jane Austen
67,1.74,18,Sally Rooney
100,7.5,60,Sally Rooney
25,1.29,23,Charlotte Brontë
93,2.14,55,Jane Austen
38,7.39,88,Charlotte Brontë
80,8.85,79,Jane Austen
47,3.09,48,Sally Rooney
75,6.56,69,Jane Austen
89,7.8,46,Sally Rooney
12,6.27,0,Sally Rooney
31,9.73,48,Sally Rooney
45,5.82,24,Jane Austen
67,3.38,2,Jane Austen
64,5.56,72,Charlotte Brontë
91,0.12,100,Sally Rooney
58,7.78,36,Charlotte Brontë
16,2.17,14,Jane Austen
23,9.15,60,Sally Rooney
24,7.82,100,Sally Rooney
54,5.23,60,Jane Austen
15,6.18,56,Sally Rooney
62,2.36,91,Sally Rooney
13,6.39,100,Charlotte Brontë
32,2.82,16,Sally Rooney
33,0.53,21,Charlotte Brontë
64,3.13,88,Jane Austen
42,2.35,62,Sally Rooney
9,9.76,73,Sally Rooney
18,2.89,40,Sally Rooney
75,3.04,89,Charlotte Brontë
78,9.97,23,Sally Rooney
72,7.0,10,Sally Rooney
18,9.52,63,Sally Rooney
19,8.62,72,Sally Rooney
32,5.08,18,Sally Rooney
46,2.8,47,Sally Rooney
16,9.65,76,Charlotte Brontë
10,8.69,39,Jane Austen
